pcode,year,junaug_mm,n_days
NE003007,2013,434.93381061553,91
NE003007,2014,383.78810493648,91
NE003007,2015,556.90686481938,91
NE003007,2016,216.8628405483,91
NE003007,2017,232.97972610144,91
NE003007,2018,474.6283772463,91
NE003007,2019,416.6832186081,91
NE003007,2020,359.53778691942,91
NE003007,2021,374.78623621807003,91
NE003007,2022,444.31143855751,91
NE003007,2023,288.89778989754,91
NE003007,2024,421.25251478215,91
NE003007,2025,524.02192587731,91
NE003007,2026,262.02736073826,90
NE003008,1998,404.28861874471,91
NE003008,1999,370.777139050592,91
NE003008,2000,408.64778496396,91
NE003008,2001,496.1297740659,91
NE003008,2002,540.48938694996,91
NE003008,2003,361.73658550053,91
NE003008,2004,471.07449909692,91
NE003008,2005,445.1275720702,91
NE003008,2006,438.96685669132,91
NE003008,2007,394.536969805922,91
NE003008,2008,302.18911423385,91
NE003008,2009,314.25966863670703,91
NE003008,2010,536.38448845612,91
NE003008,2011,268.35279542055,91
NE003008,2012,368.7046156668,91
NE003008,2013,393.1470261304,91
NE003008,2014,353.50740527274,91
NE003008,2015,439.377356831,91
NE003008,2016,297.7859838708,91
NE003008,2017,348.5878455087,91
NE003008,2018,522.83306309651,91
NE003008,2019,488.76647387663996,91
NE003008,2020,346.22466719773,91
NE003008,2021,491.6522416651,91
NE003008,2022,537.85317798242,91
NE003008,2023,357.03641716077,91
NE003008,2024,479.67174653408,91
NE003008,2025,521.7552079959,91
NE003008,2026,344.62702487998,90
NE004001,1998,494.23727852483,91
NE004001,1999,362.1921096115,91
NE004001,2000,444.14507345369,91
NE004001,2001,437.7381227442,91
NE004001,2002,381.46923047943,91
NE004001,2003,458.38931143795,91
NE004001,2004,401.8456694133,91
NE004001,2005,368.95965333325,91
NE004001,2006,321.0954972727,91
NE004001,2007,376.3477016453,91
NE004001,2008,277.394059207,91
NE004001,2009,310.4855851102,91
NE004001,2010,564.2548218314801,91
NE004001,2011,395.62601490486,91
NE004001,2012,394.75592262096,91
NE004001,2013,384.5777017271,91
NE004001,2014,265.9088062893,91
NE004001,2015,368.86956361538,91
NE004001,2016,362.17999132655,91
NE004001,2017,464.31846454679,91
NE004001,2018,490.78735493095,91
NE004001,2019,367.44719269535,91
NE004001,2020,441.21041570875,91
NE004001,2021,445.19422755799,91
NE004001,2022,428.7416008141,91
NE004001,2023,458.4346526109,91
NE004001,2024,463.47380252422,91
NE004001,2025,632.2890521766,91
NE004001,2026,455.43541238545,90
NE004002,1998,393.90684674426,91
NE004002,1999,273.83532169065,91
NE004002,2000,264.43459239,91
NE004002,2001,434.58682347406,91
NE004002,2002,197.34884115146,91
NE004002,2003,299.21523164783,91
NE004002,2004,225.76370478918,91
NE004002,2005,284.76190144538,91
NE004002,2006,195.08962000698,91
NE004002,2007,264.0425206088,91
NE004002,2008,241.35483468487,91
NE004002,2009,279.80198397398,91
NE004002,2010,336.32386609362,91
NE004002,2011,285.83937756222,91
NE004002,2012,285.2482473972,91
NE004002,2013,236.5538939033,91
NE004002,2014,310.72700830508,91
NE004002,2015,277.26657539705,91
NE004002,2016,285.44790033603,91
NE004002,2017,206.94897276844,91
NE004002,2018,321.9412599505,91
NE004002,2019,344.86768071815,91
NE004002,2020,205.3112046565,91
NE004002,2021,379.53149499807,91
NE004002,2022,248.59373103399,91
NE004002,2023,221.91454128826,91
NE004002,2024,372.72310803106,91
NE004002,2025,321.80289986646,91
NE004002,2026,233.66399812058,90
NE004003,1998,423.02386083436,91
NE004003,1999,268.48857497844,91
NE004003,2000,333.55079281004,91
NE004003,2001,481.20629666912,91
NE004003,2002,268.40361396725,91
NE004003,2003,322.83634285646,91
NE004003,2004,325.76514806465,91
NE004003,2005,337.54819626141,91
NE004003,2006,299.91863230946,91
NE004003,2007,333.82802935416,91
NE004003,2008,250.050259610765,91
NE004003,2009,262.75390767363,91
NE004003,2010,346.890505292885,91
NE004003,2011,301.76039619672497,91
NE004003,2012,322.05551031529603,91
NE004003,2013,303.49546791295,91
NE004003,2014,332.16889540684997,91
