pcode,year,junjul_mm,n_pix
NE001002,2008,19.06285285949707,2096
NE001001,2008,56.02311706542969,1741
NE003008,2008,223.16049194335938,93
NE006010,2008,232.03485107421875,213
NE003003,2008,192.76133728027344,279
NE005011,2008,117.27409362792969,371
NE004009,2008,181.89031982421875,178
NE004005,2008,173.07135009765625,157
NE005002,2008,163.45748901367188,102
NE005003,2008,207.51319885253906,106
NE001006,2008,35.29297637939453,1062
NE006011,2008,159.60523986816406,314
NE006008,2008,188.98236083984375,304
NE005012,2008,124.44547271728516,593
NE004004,2008,170.18539428710938,33
NE002006,2008,82.00057220458984,330
NE004002,2008,113.91485595703125,192
NE006007,2008,180.54571533203125,141
NE005005,2008,178.72268676757812,125
NE005009,2008,159.95193481445312,389
NE004007,2008,177.47616577148438,1
NE004001,2008,158.39659118652344,58
NE007003,2008,194.1715850830078,145
NE004006,2008,179.61727905273438,125
NE006004,2008,110.77274322509766,214
NE006002,2008,96.48213195800781,100
NE003005,2008,226.2723846435547,51
NE007006,2008,226.77011108398438,131
NE005004,2008,151.17477416992188,124
NE007007,2008,191.91758728027344,123
NE006009,2008,129.0903778076172,488
NE006003,2008,153.7926483154297,44
NE002002,2008,105.77186584472656,180
NE006013,2008,231.3399200439453,202
NE005007,2008,166.7473602294922,151
NE006001,2008,132.39219665527344,429
NE002005,2008,17.738889694213867,3920
NE007005,2008,211.4408416748047,74
NE007001,2008,113.40882873535156,309
NE005006,2008,158.4559326171875,124
NE007002,2008,134.72891235351562,173
NE006012,2008,136.0365753173828,170
NE006006,2008,148.82469177246094,350
NE001003,2008,3.201767921447754,9604
NE007008,2008,179.50563049316406,112
NE007010,2008,38.789344787597656,2333
NE003006,2008,260.0826416015625,82
NE005013,2008,165.29373168945312,25
NE005001,2008,115.14926147460938,464
NE007011,2008,191.67242431640625,16
NE006005,2008,151.69944763183594,48
NE002004,2008,100.63371276855469,252
NE002001,2008,85.4994125366211,59
NE001004,2009,8.818321228027344,4833
NE001005,2009,31.131027221679688,2074
NE008001,2009,210.75213623046875,17
NE004003,2009,123.66244506835938,357
NE003004,2009,222.56228637695312,300
NE003002,2009,223.38148498535156,53
NE007004,2009,115.69694519042969,698
NE007009,2009,70.06197357177734,806
