season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
1991,1.008312384432502,1.0683215401882034,NE004003,2,JJA
1992,1.066998208735164,1.1220066015112242,NE004003,2,JJA
1993,0.7437183466498714,0.7937259764462905,NE004003,2,JJA
1994,1.4668878705807418,1.511894737397518,NE004003,2,JJA
1995,0.976828641420318,1.016834745257453,NE004003,2,JJA
1996,0.7895767740670089,0.8245821149245011,NE004003,2,JJA
1997,0.880437360380692,0.910441938258543,NE004003,2,JJA
1998,1.1945384359067668,1.2195422508049767,NE004003,2,JJA
1999,1.4790239540576162,1.4990270059761832,NE004003,2,JJA
2000,0.7621717952388158,0.7771740841777417,NE004003,2,JJA
2001,1.1598846623469181,1.169886188306201,NE004003,2,JJA
2002,1.0158900881652948,1.0208908511449366,NE004003,2,JJA
2003,1.0266754679955576,1.0266754679955565,NE004003,2,JJA
2004,0.7674964629434746,0.7624956999638324,NE004003,2,JJA
2005,1.142023037978513,1.1320215120192296,NE004003,2,JJA
2006,0.9297946262454827,0.9147923373065564,NE004003,2,JJA
2007,1.1078338805358772,1.0878308286173097,NE004003,2,JJA
2008,1.042229708548489,1.0172258936502787,NE004003,2,JJA
2009,0.7346101834978824,0.7046056056200309,NE004003,2,JJA
2010,1.2023396653868879,1.1673343245293952,NE004003,2,JJA
2011,0.7518618443077187,0.7118557404705832,NE004003,2,JJA
2012,1.0848541336465816,1.0398472668298049,NE004003,2,JJA
2013,1.0410130541322664,0.9910054243358468,NE004003,2,JJA
2014,1.1413569965743517,1.086348603798291,NE004003,2,JJA
2015,1.1357049053250696,1.0756957495693678,NE004003,2,JJA
2016,1.1597238864267951,1.0947139676914504,NE004003,2,JJA
2017,1.0994985746035424,1.0294878928885565,NE004003,2,JJA
2018,1.405329455034558,1.3303180103399292,NE004003,2,JJA
2019,1.0429355000330174,0.9629232923587474,NE004003,2,JJA
2020,1.1011827995761978,1.016169828922285,NE004003,2,JJA
2021,1.0266484917410237,0.9366347581074697,NE004003,2,JJA
2022,1.1176698310082447,1.0226553343950495,NE004003,2,JJA
2023,0.9018467211819375,0.8018314615890995,NE004003,2,JJA
2024,1.2848036985476226,1.1797876759751433,NE004003,2,JJA
2025,0.861672396248931,0.7516556106968089,NE004003,2,JJA
2026,0.6847518701979687,0.5697343216662054,NE004003,2,JJA
1981,0.9788499591113916,1.1458085358425771,NE004003,2,JAS
1982,0.7571458297215984,0.9165153802377312,NE004003,2,JAS
1983,0.7635266963403828,0.9153072206414612,NE004003,2,JAS
1984,0.6133253578989389,0.7575168559849629,NE004003,2,JAS
1985,0.9330410959783189,1.0696435678492902,NE004003,2,JAS
1986,0.9256629247870996,1.0546763704430164,NE004003,2,JAS
1987,0.8754039180368922,0.9968283374777547,NE004003,2,JAS
1988,1.2428701250701695,1.3567055182959775,NE004003,2,JAS
1989,1.289386111227041,1.3956324782377965,NE004003,2,JAS
1990,0.9047589914171965,1.0034163322128975,NE004003,2,JAS
1991,1.0181233277639339,1.1091916423445805,NE004003,2,JAS
1992,1.0575905860898245,1.1410698744554166,NE004003,2,JAS
1993,0.7971419297894541,0.8730321919399936,NE004003,2,JAS
1994,1.5022569987677834,1.5705582347032685,NE004003,2,JAS
1995,1.0837132775069016,1.1444254872273323,NE004003,2,JAS
1996,0.8035174094455584,0.8566405929509364,NE004003,2,JAS
1997,0.8914147206578519,0.9369488779481755,NE004003,2,JAS
1998,1.2733857830119664,1.3113309140872356,NE004003,2,JAS
1999,1.6437236467830227,1.6740797516432375,NE004003,2,JAS
2000,0.8058079918175798,0.8285750704627419,NE004003,2,JAS
2001,1.2708535263122904,1.2860315787423982,NE004003,2,JAS
2002,1.1905340613029218,1.1981230875179751,NE004003,2,JAS
2003,1.164549065960197,1.1645490659601976,NE004003,2,JAS
2004,0.9923015968438852,0.9847125706288314,NE004003,2,JAS
2005,1.2090709412976708,1.1938928888675626,NE004003,2,JAS
2006,1.1811097918351392,1.1583427131899766,NE004003,2,JAS
2007,1.2653471796770532,1.234991074816838,NE004003,2,JAS
2008,1.0650627390221674,1.0271176079468978,NE004003,2,JAS
2009,0.7637408055086724,0.7182066482183483,NE004003,2,JAS
2010,1.4393967386905522,1.3862735551851737,NE004003,2,JAS
2011,1.029986515808044,0.9692743060876128,NE004003,2,JAS
2012,1.2304190405114448,1.1621178045759593,NE004003,2,JAS
2013,1.197254747170875,1.121364485020335,NE004003,2,JAS
2014,1.2910924400131905,1.2076131516475979,NE004003,2,JAS
2015,1.305655821123538,1.214587506542891,NE004003,2,JAS
2016,1.134765075188442,1.0361077343927405,NE004003,2,JAS
2017,0.9814604720964961,0.8752141050857403,NE004003,2,JAS
2018,1.4049166827243456,1.291081289498537,NE004003,2,JAS
2019,1.078444794624153,0.9570203751832902,NE004003,2,JAS
2020,1.1847210222499553,1.055707576594038,NE004003,2,JAS
